Date|Comp|Positive|Negative
2017-03-29|0.07527999999999999|0.0851|0.047400000000000005
2017-03-30|0.06432222222222223|0.10966666666666666|0.0793888888888889
2017-03-31|-0.25783333333333336|0.08116666666666666|0.19183333333333333
2017-04-01|0.10882|0.12969999999999998|0.05635
2017-04-02|-0.043252631578947376|0.10336842105263157|0.1272105263157895
2017-04-03|0.08728947368421053|0.09794736842105263|0.03836842105263158
2017-04-04|-0.009399999999999997|0.06795|0.07114999999999999
2017-04-05|0.0847875|0.0705|0.0159375
2017-04-06|0.025104999999999995|0.054599999999999996|0.061450000000000005
2017-04-07|-0.0053350000000000055|0.06194999999999999|0.05525
2017-04-08|0.15983333333333333|0.12638888888888886|0.042444444444444444
2017-04-09|0.05618333333333333|0.14127777777777778|0.10666666666666666
2017-04-10|0.17226875|0.11624999999999999|0.0268125
