Security;MSFT US Equity;ORCL US Equity;AAPL US Equity;CRM US Equity;V US Equity;PYPL US Equity;MA US Equity;INTC US Equity;CSCO US Equity;NVDA US Equity;ADBE US Equity
Field;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST
Date;;;;;;;;;;;
2017-06-23;68.0839;48.7079;140.587;88.62;93.8878;54.33;122.082;31.9497;29.5332;152.4736;145.41
2017-06-26;67.4338;48.6218;140.145;88.11;93.5341;53.74;121.6;31.8376;29.6713;150.8084;144.96
2017-06-27;66.1717;48.5167;138.137;87.68;93.2198;52.73;120.832;31.4451;29.2295;145.2875;142.54
2017-06-28;66.7358;48.6314;140.155;88.09;94.5263;54.39;122.87;31.9591;29.524;150.4119;143.81
2017-06-29;65.4833;47.9909;138.089;86.8;92.7483;53.42;119.621;31.3423;28.9074;145.3866;141.24
2017-06-30;65.904;47.9335;138.415;86.6;92.1196;53.67;119.562;31.5292;28.8062;143.2853;141.44
2017-07-03;65.1774;47.1879;137.916;86.1;91.6972;52.87;118.903;31.2676;28.8338;138.1014;138.41
2017-07-05;66.0474;47.2835;138.483;87.5;92.3456;54.61;120.303;32.0899;28.8988;141.7886;141.21
2017-07-06;65.5598;46.7003;137.176;86.85;91.599;53.47;119.139;31.4264;28.5365;142.2148;140.75
2017-07-07;66.4108;47.1783;138.569;87.92;92.2571;53.97;120.52;31.66;28.7037;145.4659;142.22
2017-07-10;66.9079;47.4364;139.415;88.5;93.4064;54.94;121.043;31.4451;28.778;152.3447;143.34
2017-07-11;66.9175;47.685;139.867;88.35;93.7208;54.76;122.522;31.697400000000002;28.8802;154.5055;142.93
2017-07-12;68.0266;48.2299;140.068;90.4;94.4771;56.55;123.558;32.0058;28.9452;161.077;145.91
2017-07-13;68.6194;48.1343;142.019;89.57;94.2414;57.9;123.745;31.9964;29.0474;159.2136;145.05
2017-07-14;69.585;48.3351;143.24;90.0;95.2139;57.16;125.264;32.4076;29.1868;163.4955;146.16
2017-07-17;70.13;48.4022;143.74;89.29;95.1156;57.58;125.678;32.2114;29.2611;162.8017;146.4
2017-07-18;70.0822;48.4118;144.24;89.27;95.8523;58.96;125.974;32.2674;29.2704;164.4966;147.89
2017-07-19;70.6176;48.9396;145.143;89.56;96.5105;58.35;126.28;32.2955;29.6326;163.6442;148.92
2017-07-20;70.9618;49.0643;144.489;90.54;96.373;59.09;126.704;32.473;29.5955;166.023;149.94
2017-07-21;70.5507;48.7477;144.422;89.69;97.8366;58.67;127.493;32.4543;29.5769;166.6177;149.52
2017-07-24;70.369;48.7093;146.171;89.67;98.593;58.58;127.739;32.2394;29.5955;164.6849;149.53
2017-07-25;70.9331;49.1027;146.796;90.63;98.2197;58.26;128.193;32.3983;29.837;163.892;148.21
2017-07-26;70.7993;49.1027;147.488;91.07;99.0645;58.79;129.189;32.473;29.4097;165.7852;149.78
2017-07-27;69.9483;48.4118;144.701;90.51;97.8071;60.15;127.157;32.6786;29.3261;160.3138;146.2
2017-07-28;69.8336;48.2679;143.682;90.62;97.3946;59.2;126.151;32.9963;29.2796;162.9405;146.73
2017-07-31;69.5085;47.9128;142.942;90.8;97.7973;58.55;126.043;33.1458;29.2146;161.077;146.49
2017-08-01;69.3938;48.1335;144.211;91.22;99.0841;59.34;127.71;33.9682;29.4004;163.0396;147.36
2017-08-02;69.0878;47.7593;151.025;89.89;99.4868;59.12;128.814;34.2392;29.2796;162.9405;147.13
2017-08-03;68.9827;48.2007;149.516;90.35;98.8091;58.42;128.104;34.3545;29.3168;165.012;147.79
2017-08-04;69.4894;47.9416;150.304;90.45;99.1037;58.86;128.035;34.1756;29.5397;165.7356;147.71
2017-08-07;69.2217;47.6345;152.63;90.5;99.6931;59.62;128.588;34.298;29.5769;170.8303;148.44
2017-08-08;69.5946;47.1164;153.85;90.26;99.4868;59.48;128.055;34.2792;29.419;168.7983;147.81
2017-08-09;69.2886;47.078;154.792;90.12;99.1823;59.67;127.937;34.4487;29.3725;170.5924;148.35
2017-08-10;68.2752;46.1568;149.862;87.63;97.7285;58.02;125.915;34.025;28.7966;163.2874;144.92
2017-08-11;69.3173;46.2911;151.946;88.29;98.3179;58.04;126.783;33.7708;29.2332;154.5848;146.47
2017-08-14;70.3595;46.8765;154.233;90.25;100.0664;59.06;129.288;34.2133;29.5769;166.9151;149.16
2017-08-15;70.3787;46.8573;155.921;90.7;100.8129;59.69;129.771;33.8932;29.8091;165.5076;150.36
2017-08-16;70.792;47.2603;155.294;92.24;101.6542;60.29;130.55;33.7143;30.0414;163.6938;151.8
2017-08-17;69.5905;46.5886;152.313;90.88;100.5129;59.29;129.081;33.1118;28.8338;160.0462;148.23
2017-08-18;69.677;46.6558;151.965;90.76;100.8572;59.44;129.337;32.9611;28.2114;160.0759;147.97
2017-08-21;69.3502;46.9244;151.685;91.76;101.5558;59.4;130.126;32.8764;28.4993;157.7467;149.26
2017-08-22;70.321;47.2699;154.165;92.95;102.3921;60.84;131.961;32.6222;29.0474;161.2585;152.25
2017-08-23;69.8981;47.0876;154.358;93.07;101.5164;60.05;131.241;32.6316;28.7223;164.4827;151.1
2017-08-24;69.8693;47.2027;153.673;94.15;101.5558;60.0;131.132;32.6787;29.0195;163.8776;150.81
2017-08-25;69.9942;47.2507;154.242;94.1;101.6837;59.97;130.925;32.641;29.2053;162.5085;151.45
2017-08-28;70.0038;47.2507;155.796;93.66;102.1067;60.53;132.01;32.6222;29.2982;163.6593;151.79
2017-08-29;70.2153;47.4522;157.185;93.83;102.0969;61.01;132.0;32.6975;29.2425;163.3914;152.14
2017-08-30;71.138;47.7881;157.61;94.86;102.0575;61.77;131.961;32.8482;29.7162;164.3637;153.67
2017-08-31;71.8685;48.2967;158.237;95.49;101.8509;61.68;131.467;33.0176;29.9206;168.0938;155.16
2017-09-01;71.0707;48.575;158.285;96.01;102.2248;61.46;131.408;33.0364;30.0042;169.1057;155.06
2017-09-05;70.7536;48.8724;156.384;96.18;101.3491;61.27;130.836;32.9705;29.3725;164.5918;154.28
2017-09-06;70.5517;48.9492;156.22;95.82;101.5164;61.24;131.063;33.6672;29.6048;164.4926;153.76
2017-09-07;71.4552;49.6401;155.593;96.73;102.8742;62.0;134.653;33.4601;29.5026;165.2565;155.47
2017-09-08;71.1092;49.4962;153.055;96.43;102.7463;61.13;135.333;33.1306;29.2425;162.3895;155.34
2017-09-11;71.8589;50.3694;155.825;97.71;104.4385;62.64;140.038;33.6767;29.902;167.6573;156.87
2017-09-12;71.782;50.6381;155.207;96.85;104.4976;62.56;140.462;33.9779;30.1064;168.2624;156.31
2017-09-13;72.2915;50.6669;154.04;95.61;104.1237;62.04;138.174;34.2039;29.8927;169.0164;156.24
2017-09-14;71.8685;50.6573;152.718;95.3;104.3697;62.24;139.525;34.3451;29.902;168.0541;154.95
2017-09-15;72.3876;46.7709;154.262;94.63;103.6022;62.5;139.634;34.8347;30.1343;178.679;154.49
2017-09-18;72.2434;46.3775;153.094;95.74;103.1398;62.92;139.456;34.8347;30.2086;186.0599;155.77
2017-09-19;72.5125;46.0992;153.152;95.35;103.7105;63.83;140.531;35.0512;30.1807;185.8615;156.6
2017-09-20;72.0319;46.032;150.585;95.21;103.2775;64.74;140.284;34.9006;30.2829;184.3635;149.96
2017-09-21;71.3303;46.032;148.0;94.86;103.6121;64.63;139.772;35.023;30.3758;179.3239;149.3
2017-09-22;71.5225;46.2143;146.552;94.94;103.858;65.08;139.939;35.0041;30.9981;177.5778;148.5
2017-09-25;70.4171;46.032;145.259;92.47;101.359;63.5;136.665;34.9853;31.3233;169.6414;144.57
2017-09-26;70.4171;45.984;147.758;92.34;101.2803;62.94;136.468;35.2772;31.3604;170.5938;145.4
2017-09-27;70.9842;46.2143;148.81;93.21;102.215;63.33;137.75;35.3431;31.1003;174.3338;146.43
2017-09-28;71.0035;46.1376;147.894;92.6;102.8938;63.93;138.273;35.6161;30.9796;174.2842;146.83
2017-09-29;71.5994;46.3967;148.704;93.42;103.5432;64.03;139.259;35.8515;31.2397;177.3497;149.18
2017-10-02;71.7147;46.8285;148.405;93.94;103.74;64.18;139.87;36.7553;31.3511;177.5778;147.94
2017-10-03;71.3783;46.7229;149.051;95.36;103.8876;64.22;141.054;37.0754;31.444;177.9449;148.6
2017-10-04;71.7916;46.9244;148.086;95.52;103.6121;64.01;140.137;37.0377;31.3316;179.433;147.95
2017-10-05;73.022;46.934;149.929;95.73;104.5271;65.82;141.994;37.2166;31.4721;179.3338;150.25
2017-10-06;73.0508;46.4446;149.843;96.32;105.0092;66.05;141.766;37.3108;31.6221;179.8596;151.12
2017-10-09;73.3296;46.4063;150.364;96.27;105.2847;66.23;142.784;37.5273;31.6314;183.9171;151.5
2017-10-10;73.3296;46.4448;150.421;95.39;105.5798;66.04;143.87;37.3296;31.4347;187.4289;152.15
2017-10-11;73.4545;46.5122;151.049;96.01;106.6916;67.78;145.056;37.0001;31.4721;189.423;153.65
2017-10-12;74.1273;46.4641;150.518;96.74;106.3669;68.86;144.947;36.8965;31.1629;189.5123;153.61
2017-10-13;74.483;46.8301;151.473;96.94;106.9081;68.66;145.54;37.3484;31.3597;193.044;153.93
2017-10-16;74.6368;47.071;154.262;97.15;106.5539;67.31;144.433;37.4331;31.4253;196.3574;150.46
2017-10-17;74.5791;47.3889;154.831;96.72;105.8061;66.67;144.147;37.4614;31.4815;196.1789;150.38
2017-10-18;74.5983;47.7646;154.146;96.44;106.0619;67.26;144.404;37.8945;31.4347;196.0102;153.0
2017-10-19;74.8867;47.543;150.499;97.19;105.2945;67.25;143.209;37.7438;31.6221;196.2285;171.73
2017-10-20;75.7518;47.4467;150.759;98.9;105.816;70.97;143.604;38.0639;32.0905;195.3356;175.64
2017-10-23;75.771;47.5045;150.682;98.44;105.7963;69.8;143.781;38.4405;32.1842;195.0578;172.16
2017-10-24;75.7998;48.15;151.579;98.66;106.6621;70.21;144.019;38.5535;32.3997;197.1015;171.58
2017-10-25;75.5787;47.8802;150.914;99.59;107.7247;71.02;144.453;38.3935;32.1374;192.1214;171.83
2017-10-26;75.7037;48.3138;151.878;100.05;108.0297;71.34;144.799;38.9301;32.1093;194.1352;173.75
2017-10-27;80.5577;49.017;157.32;100.7;107.9411;71.06;146.705;41.8016;32.2592;200.2562;177.33
2017-10-30;80.6346;48.8243;160.861;100.7;108.2658;71.15;147.13;41.7734;31.8938;202.2205;176.03
2017-10-31;79.9522;49.0363;163.1;102.34;108.2068;72.56;146.952;42.8278;31.9968;205.1669;175.16
2017-11-01;79.9522;48.7858;161.025;101.95;109.2792;72.38;147.071;43.9764;32.4372;205.5538;176.25
2017-11-02;80.7884;48.439;162.202;102.6;109.1906;72.25;146.439;44.3436;32.053;204.3038;180.94
2017-11-03;80.8749;48.3427;166.438;102.71;109.5645;73.39;147.466;43.6281;32.2967;207.0319;182.3
2017-11-06;81.1921;48.5546;168.127;102.42;110.1155;74.74;148.256;44.2271;32.2404;207.9645;180.8
2017-11-07;80.9999;48.6413;168.667;102.72;110.2828;74.41;148.138;44.3028;32.2311;210.3454;180.88
2017-11-08;81.2786;48.6895;170.047;105.03;110.6566;74.77;148.138;44.2271;32.3248;207.4982;184.06
2017-11-09;80.8269;47.4371;169.699;103.6;110.3319;74.1;147.466;43.8483;31.9031;203.6887;181.92
2017-11-10;80.6154;47.5141;169.138;105.24;110.0761;73.99;147.713;43.1664;31.8469;214.4228;181.72
2017-11-13;80.6731;47.5912;168.46;105.78;109.6039;74.03;147.861;43.3274;31.8094;210.9406;181.85
2017-11-14;80.7884;47.3985;165.913;106.23;110.1745;74.49;148.118;43.4316;31.8938;212.4783;181.32
2017-11-15;80.1605;47.0325;163.725;105.43;108.4724;73.43;146.518;43.0527;31.9594;208.3117;180.08
2017-11-16;80.373;47.3985;165.681;107.03;109.4235;77.7;148.493;43.2327;33.6178;209.9287;182.3
2017-11-17;79.6002;47.1481;164.761;107.58;108.2408;76.38;147.199;42.2667;33.6365;209.6807;182.24
2017-11-20;79.7258;47.2251;164.596;107.37;108.3689;76.01;147.733;42.2572;34.1987;212.3791;182.34
2017-11-21;80.8754;46.8494;167.656;108.8;109.8474;77.77;150.647;42.5603;34.3392;214.3335;184.15
2017-11-22;80.2861;46.8012;169.418;106.83;109.2264;77.57;149.402;42.2856;34.1518;213.3705;182.9
2017-11-24;80.431;47.2155;169.428;107.15;110.3599;78.57;150.874;42.3803;34.1893;215.3858;184.46
2017-11-27;81.0203;47.0903;168.576;106.58;110.764;77.84;151.101;42.1341;34.5453;212.5862;185.0
2017-11-28;81.996;47.2155;167.588;106.46;111.7299;77.79;152.306;42.3614;35.3511;209.1811;185.4
2017-11-29;80.5083;46.7434;164.112;103.53;108.2802;73.25;146.537;41.6227;35.1169;194.9948;176.85
2017-11-30;81.3101;47.2637;166.407;104.32;110.971;75.73;148.631;42.4656;34.9482;199.2537;181.47
2017-12-01;81.397;47.7935;165.632;103.83;109.1377;75.3;147.861;42.314;35.2293;196.2457;179.52
2017-12-04;78.3251;46.6278;164.422;99.85;105.8852;70.97;141.677;42.1341;35.3417;185.3056;168.44
2017-12-05;78.8177;46.2328;164.267;100.69;107.0186;71.2;143.357;41.1397;34.9576;186.3778;167.54
2017-12-06;79.9673;46.6471;163.657;102.92;108.1619;73.14;145.619;41.1492;35.0513;187.8868;173.52
2017-12-07;79.6872;46.7434;163.957;104.07;109.7981;73.69;147.624;40.7988;35.0419;190.597;174.61
2017-12-08;81.3004;47.7839;164.006;103.44;110.9808;72.91;148.059;41.0545;35.2387;190.1006;173.57
2017-12-11;82.3341;48.622;167.201;104.54;110.7541;73.29;149.036;41.3481;35.5666;193.2476;174.31
2017-12-12;82.6722;48.545;166.262;103.67;111.8285;73.62;150.637;41.0355;35.519800000000004;189.4553;172.54
2017-12-13;82.45;48.2174;166.814;103.94;111.6806;74.09;149.837;41.045;35.7446;184.8291;176.83
